,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,PRGMOFR,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,RET_FT4_POOLED
3469,Whitman College,Walla Walla,WA,3,13.0,0.5895,725.0,730.0,1539.0,55982.0,55982.0,0.8874,0.8885,0.783,1,1400.0,13800.0,800.0,13800.0,800.0,59400,9.0,64541.0,64309.0,0.4,9376.0,,98863,70542.39,0.3618,20505.0,25008.0,0.7853
3470,Whitworth University,Spokane,WA,3,21.0,0.9146,640.0,640.0,2293.0,47590.0,47590.0,0.7539,0.7876,0.6403,1,936.0,12500.0,3613.0,10647.0,3613.0,48000,11.0,51777.0,65689.0,0.25,7735.0,,63155,63739.65,0.5604,10063.0,17979.0,0.7989
3582,University of Wyoming,Laramie,WY,3,33.0,0.9678,651.0,645.0,8700.0,6277.0,20827.0,0.6023,0.7636,0.3702,1,1200.0,11144.0,3184.0,11144.0,3184.0,54200,14.0,47755.0,60998.0,0.18,9830.0,,54733.5,56061.18,0.2726,16662.0,6490.0,0.7812
3656,Stanford University,Stanford,CA,3,21.0,0.0395,770.0,800.0,7645.0,56169.0,56169.0,0.9552,0.9826,0.772,1,1305.0,17860.0,3564.0,15000.97,4615.17,141300,5.0,85898.0,134350.0,0.45,21334.0,,44842,80275.59,0.043,124493.0,25894.0,0.9183
3669,St. John's College,Santa Fe,NM,3,41.0,0.6272,750.0,720.0,368.0,35710.0,35710.0,0.7162,0.7188,0.6351,1,700.0,14278.0,1000.0,14278.0,1000.0,41400,7.0,45246.0,39574.0,0.1,8608.0,,43212,73387,0.4254,15350.0,12316.0,0.7029
3671,Antioch University-Los Angeles,Culver City,CA,3,21.0,,651.0,645.0,102.0,,,,,,1,,14498.5,3342.06,15000.97,4615.17,41800,3.0,41333.0,49796.0,0.07,6478.0,,22455,65831.57,0.5176,10544.0,22426.0,
3672,Antioch University-Santa Barbara,Santa Barbara,CA,3,13.0,,651.0,645.0,48.0,,,,,,1,,16034.5,3343.5,11176.5,4068.5,41800,4.0,41333.0,49796.0,0.07,6305.0,,22455,65831.57,0.4861,7615.0,16198.0,
3729,Platt College-Aurora,Greenwood Village,CO,3,21.0,0.5833,651.0,645.0,222.0,20590.0,20590.0,0.5,0.7143,0.5,1,1920.0,12373.17,3136.93,13824.0,6082.0,31900,11.0,69438.0,,0.1,6333.0,,30000,77904.9,0.7511,7135.0,16619.0,0.6667
3741,University of Massachusetts Global,Irvine,CA,3,11.0,0.9286,651.0,645.0,5019.0,12480.0,12480.0,0.0,0.1875,0.0,1,1125.0,14498.5,3342.06,17253.0,4761.0,PrivacySuppressed,22.0,61568.0,73209.0,0.09,9402.0,,30485,,0.3284,4067.0,14888.0,0.1875
3743,Montana Bible College,Bozeman,MT,3,41.0,,651.0,645.0,0.0,9425.0,9425.0,,,,1,300.0,4800.0,1400.0,6600.0,1400.0,,,,,,,,,,,,,
