,INSTNM,CITY,STABBR,PREDDEG,LOCALE,ADM_RATE,SATVR75,SATMT75,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,RET_FT4,C100_4,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,MN_EARN_WNE_P10,STUFACR,MD_EARN_WNE_MALE0_P10,MD_EARN_WNE_MALE1_P10,BBRR4_FED_UG_PAIDINFULL,AVGFACSAL,PRGMOFR,MD_FAMINC,MEDIAN_HH_INC,PCTFLOAN,INEXPFTE,TUITFTE,RET_FT4_POOLED
1157,Johnson County Community College,Overland Park,KS,2,12.0,,,,10583.0,2256.0,5352.0,,,,2,1560.0,,,11632.0,10124.0,41200,19.0,40489.0,46978.0,0.11,8619.0,,29784,73264.23,0.105,8339.0,3098.0,
1158,Concorde Career College-Kansas City,Kansas City,MO,1,11.0,0.9415,,,668.0,,,0.6136,,,1,,,,,,27700,20.0,29934.0,31239.0,0.06,6673.0,17.0,17899,52050.38,0.7001,8790.0,17696.0,
1159,Kansas City Kansas Community College,Kansas City,KS,1,12.0,,,,3357.0,3120.0,6510.0,,,,2,1000.0,7498.0,9792.0,10608.0,9792.0,34400,12.0,35989.0,43090.0,0.07,7204.0,,21754,56103.26,0.0618,7664.0,2029.0,
1160,Kansas Christian College,Overland Park,KS,2,12.0,,,,127.0,9620.0,9620.0,0.5,1.0,0.0,1,600.0,8900.0,5550.0,10200.0,5550.0,,10.0,,,PrivacySuppressed,2437.0,,22180,,0.5,10122.0,4935.0,0.5147
1161,University of Kansas,Lawrence,KS,3,13.0,0.925,660.0,670.0,18427.0,11166.0,28034.0,0.6603,0.8476,0.4989,1,1224.0,9900.0,3230.0,9639.0,3230.0,59300,17.0,55302.0,63410.0,0.19,10474.0,,64240.5,70891.42,0.3759,20162.0,12941.0,0.8525
1162,Newman University,Wichita,KS,3,11.0,0.7165,,,865.0,34460.0,34460.0,0.6335,0.6875,0.5253,1,1282.0,9644.0,2880.0,10892.0,5064.0,47900,13.0,48092.0,62051.0,0.13-0.14,6302.0,,42909,62008.99,0.3297,5523.0,10536.0,0.7065
1163,Old Town Barber College-Wichita,Wichita,KS,1,11.0,,,,71.0,,,,,,3,,,,,,23300,12.0,,21626.0,<=0.20,,1.0,16171,53208.35,0.9211,1257.0,7856.0,
1164,Kansas State University,Manhattan,KS,3,13.0,0.9561,,,15372.0,10420.0,26491.0,0.6842,0.8624,0.4148,1,1006.0,10100.0,4204.0,8236.0,4204.0,51900,19.0,47478.0,64275.0,0.21,9724.0,,67000,59909.03,0.4078,12636.0,11322.0,0.8672
1165,Kansas Wesleyan University,Salina,KS,3,33.0,0.6764,,,758.0,31340.0,31340.0,0.3924,0.5684,0.3291,1,1200.0,10300.0,2000.0,6184.0,4040.0,43300,12.0,41188.0,54751.0,0.11-0.12,5833.0,,49181,54592.99,0.8251,5177.0,12084.0,0.5982
1166,Washburn Institute of Technology,Topeka,KS,1,12.0,0.4384,,,1227.0,8323.0,8323.0,,,,3,1200.0,,,10716.0,3416.0,43500,15.0,45218.0,49340.0,0.12,,,36446,57541.98,0.1283,8536.0,2704.0,
