,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,InState_Tuition,OutOfState_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary
2607,Youngstown State University,Youngstown,OH,3,13.0,0.7815,590.0,590.0,8306.0,10021.0,10381.0,0.4703,0.7486,0.2409,1,1100.0,9775.0,3416.0,9775.0,3416.0,40200,17.0,36092.0,49443.0,0.08,8510.0
2608,Bacone College,Muskogee,OK,3,32.0,0.545,540.0,493.0,266.0,14700.0,14700.0,0.0659,0.3881,0.0435,1,2500.0,8600.0,5250.0,6890.0,1500.0,37000,11.0,35665.0,39955.0,0.03-0.04,4016.0
2609,Oklahoma Wesleyan University,Bartlesville,OK,3,32.0,0.5391,560.0,570.0,780.0,29498.0,29498.0,0.328,0.5633,0.3016,1,900.0,8658.0,3962.0,8658.0,3940.0,53500,14.0,51517.0,57538.0,0.11-0.12,5919.0
2615,University of Central Oklahoma,Edmond,OK,3,21.0,0.813,632.0,632.0,11420.0,8030.0,18917.0,0.3698,0.6681,0.125,1,1600.0,8458.0,7500.0,11958.0,9200.0,44900,16.0,43879.0,55296.0,0.1,7096.0
2617,East Central University,Ada,OK,3,33.0,0.6468,430.0,530.0,2552.0,7195.0,16555.0,0.309,0.5653,0.197,1,1696.0,7640.0,3772.0,9712.0,8274.0,42200,17.0,40101.0,50018.0,0.09,5887.0
2622,Randall University,Moore,OK,3,21.0,0.5533,540.0,520.0,279.0,16190.0,16190.0,0.1889,0.6563,0.0556,1,1110.0,8192.0,4296.0,9416.0,6136.0,38700,13.0,29722.0,43380.0,0.10-0.19,3200.0
2626,Northeastern State University,Tahlequah,OK,3,33.0,0.9946,555.0,530.0,5212.0,7115.0,15755.0,0.3883,0.6097,0.2022,1,1250.0,8120.0,2640.0,7792.0,6820.0,41000,17.0,40816.0,50025.0,0.08,7248.0
2629,Northwestern Oklahoma State University,Alva,OK,3,33.0,0.593,540.0,550.0,1408.0,8280.0,15398.0,0.3035,0.567,0.211,1,1600.0,5250.0,4200.0,5250.0,4200.0,41700,14.0,40169.0,50665.0,0.09-0.10,6609.0
2631,Oklahoma Christian University,Edmond,OK,3,11.0,0.9653,610.0,610.0,1736.0,25090.0,25090.0,0.5649,0.7959,0.4191,1,1200.0,7900.0,4455.0,7900.0,4455.0,43300,15.0,41975.0,56506.0,0.19-0.20,6809.0
2634,Oklahoma State University-Main Campus,Stillwater,OK,3,32.0,0.6837,630.0,620.0,19841.0,9244.0,24764.0,0.6551,0.8319,0.4459,1,1140.0,9646.0,4740.0,9646.0,4740.0,55300,18.0,46317.0,63647.0,0.17,9425.0
2636,Oklahoma Baptist University,Shawnee,OK,3,32.0,0.5574,620.0,590.0,1407.0,32050.0,32050.0,0.5351,0.6771,0.4324,1,1300.0,8148.0,4532.0,8148.0,4532.0,45000,15.0,41457.0,49953.0,0.17-0.18,7028.0
2638,Oklahoma City University,Oklahoma City,OK,3,11.0,0.7924,640.0,593.0,1425.0,32744.0,32744.0,0.65,0.8364,0.5531,1,1500.0,9486.0,2750.0,9486.0,2750.0,51100,10.0,49076.0,51721.0,0.17-0.18,7517.0
2639,University of Oklahoma-Norman Campus,Norman,OK,3,22.0,0.8523,670.0,670.0,20800.0,12012.0,27816.0,0.7575,0.885,0.5017,1,800.0,11700.0,6781.0,11700.0,6781.0,61900,17.0,55693.0,63848.0,0.19,10247.0
2641,Oral Roberts University,Tulsa,OK,3,11.0,0.8499,620.0,590.0,3186.0,31558.0,31558.0,0.5888,0.85,0.4868,1,1920.0,8850.0,3706.0,13200.0,3706.0,43100,16.0,39146.0,49773.0,0.14,7616.0
2645,University of Science and Arts of Oklahoma,Chickasha,OK,3,32.0,0.6345,632.0,632.0,841.0,8040.0,18900.0,0.3873,0.5414,0.2157,1,1200.0,6030.0,3930.0,7410.0,3930.0,36400,13.0,38700.0,41928.0,0.10-0.14,5744.0
2648,Southeastern Oklahoma State University,Durant,OK,3,32.0,0.737,540.0,540.0,2832.0,6930.0,15870.0,0.3009,0.5419,0.1629,1,1280.0,6900.0,3016.0,7002.0,3816.0,41000,21.0,39818.0,53728.0,0.07,6744.0
2650,Southwestern Oklahoma State University,Weatherford,OK,3,33.0,0.9412,632.0,632.0,3541.0,7913.0,15023.0,0.3866,0.6454,0.2029,1,1218.0,6380.0,7202.0,5814.0,7202.0,48200,19.0,41339.0,53820.0,0.14,7330.0
